"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
293e7556-9773-49cf-b80a-75f31374b431,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,"#N/A",3.0,false,35.0
386e56ec-c19f-4c9f-b1d6-8914c8513f32,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,"#N/A",3.0,false,15.0
3a12e110-d96a-4574-988e-a0ef72750e59,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,"#N/A",3.0,false,10.0
99a0dfa6-9694-450f-81fd-9eb1d224d497,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,"#N/A",3.0,false,20.0
ef7fe3de-386f-4021-ab74-4c114b69d2fb,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,"#N/A",3.0,false,10.0
f8b9cb85-369b-4b40-aaae-561c5447c5e1,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,"#N/A",3.0,false,10.0
