"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
0af9dc4a-ce90-4f1f-ac50-62297af41d6a,Top,"#N/A",0.0,false,"#N/A",77848fd0-6014-4209-a781-845e5b432f2e,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,0.0
78ae0dd3-aa93-4356-ae27-8d3f1f1cb407,Bottom,"#N/A",0.0,false,"#N/A",63030166-51ec-44e5-b449-6d959449c5eb,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,0.0
969c49d3-5151-4f7a-8650-80a62ea8607c,Lines,"#N/A",0.0,false,"#N/A",74fc6c12-0241-431f-b01d-9f7aff4fb9b3,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",e3581357-db11-4328-9ef7-97d4f407d6c8,0.0
