"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
54971c63-0ad8-4ad1-af9b-14367645831c,"#N/A","#N/A","#N/A",false,382972dc-e69c-4411-aff1-8f31a0b5f904,Enable,"#N/A","#N/A","#N/A"
8e104f41-c0c4-4df8-a10e-e65f59542c7d,"#N/A","#N/A","#N/A",false,382972dc-e69c-4411-aff1-8f31a0b5f904,Add,"#N/A","#N/A","#N/A"
b26e6662-9ac9-4b1c-89a8-54bd90b71d72,"#N/A","#N/A","#N/A",false,382972dc-e69c-4411-aff1-8f31a0b5f904,Remove,"#N/A","#N/A","#N/A"
bb3c384a-c357-4943-ad89-3318862e1439,"#N/A","#N/A","#N/A",false,382972dc-e69c-4411-aff1-8f31a0b5f904,Add,"#N/A","#N/A","#N/A"
