"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
23b6bb72-6ef0-44eb-9ddd-3b6027bf4807,false,"#N/A",7076e0000Go3UgE,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
49d4d31b-2030-4b93-9b17-e5a4244e5405,true,"#N/A",7076e0000Go3UgF,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
52ed9915-8b6d-4bb1-bf5a-e92bbb8cc233,false,"#N/A",7076e0000Go3UgB,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
5622d63c-ec50-4d9a-837b-4f5c9f941732,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
5976476e-f421-4def-99d4-b32fbb912106,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
aba6ad6e-9192-4e0e-9cc6-39cbf91268fc,false,"#N/A",7076e0000Go3UgC,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
b2023f71-5b94-4138-a4ac-c9243ea14037,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
baaab679-b734-4aea-8594-9fc7c108085a,false,"#N/A",7076e0000Go3UgD,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
